Dimensions,Sub-Dimensions,Questions,Description,Options,Scores
Build and Deployment,Build,Do you have a defined and documented build process?,"This refers to having a detailed step-by-step guide or set of instructions for how software is built from source code, ensuring everyone involved follows the same procedures.",A) No defined process; builds are manual or ad hoc.,1
,,,,"B) Some projects have defined processes, but these are inconsistent.",2
,,,,C) A documented process exists but lacks adoption in all teams.,3
,,,,"D) All teams follow a consistent, well-documented process.",4
,,,,E) Processes are optimized and integrated with advanced tools for automation and scaling.,5
,,Are your builds and tests performed in isolated environments?,"This involves running builds and tests in a controlled and independent setup, such as virtual machines or containers, that are separate from production or shared environments.",A) Builds occur on shared systems with no isolation.,1
,,,,"B) Some builds use isolated environments, but only occasionally.",2
,,,,C) Builds are performed in isolated environments for most projects.,3
,,,,D) All builds use isolated environments destroyed after each use.,4
,,,,E) Advanced security checks and isolation methods ensure scalability and performance.,5
,,Are artifacts signed to ensure integrity and authenticity?,"Signing artifacts involves attaching a cryptographic signature to software packages or files, ensuring that they have not been tampered with and are verified as genuine.",A) No artifacts are signed.,1
,,,,"B) Some critical artifacts are signed, but verification is inconsistent.",2
,,,,"C) Most artifacts are signed, but verification is inconsistent or manual.",3
,,,,D) All artifacts are signed and verified manually.,4
,,,,"E) All artifacts are signed, and verification is automated as part of the CI/CD process.",5
,Deployment,Do you have a defined and documented deployment process?,"This means having a clear and written workflow that outlines how software is released or deployed into production, including the steps, roles, and systems involved.",A) No defined deployment process; deployments are manual or inconsistent.,1
,,,,"B) Some teams follow a deployment process, but it is undocumented and inconsistent.",2
,,,,C) A documented deployment process exists but is not consistently followed.,3
,,,,D) All teams consistently follow a documented deployment process.,4
,,,,"E) The deployment process is optimized, automated, and integrated with monitoring for continuous improvement.",5
,,Do you use rolling updates during deployment to minimize downtime?,"Rolling updates involve deploying new versions of software incrementally across servers or systems, reducing the risk of downtime or service disruption.","A) Deployments result in downtime, with no strategy to minimize it.",1
,,,,B) Rolling updates are occasionally used but not consistently.,2
,,,,C) Rolling updates are used for most deployments but lack automation or monitoring.,3
,,,,"D) Rolling updates are consistently implemented, automated, and monitored for critical systems.",4
,,,,"E) Rolling updates are automated, monitored, and integrated with advanced traffic-shifting strategies like canary or blue/green deployments.",5
,,Are artifacts built once and deployed across all environments?,"This pertains to ensuring that the same version of software, created in a single build process, is used consistently across different environments like staging, testing, and production.","A) Artifacts are rebuilt for every environment, increasing inconsistencies.",1
,,,,"B) Some artifacts are reused, but builds for different environments are still frequent.",2
,,,,C) Artifacts are built once but inconsistently deployed across environments.,3
,,,,D) Artifacts are built once and consistently deployed across all environments.,4
,,,,"E) A single artifact is built, signed, and deployed across environments with strict versioning and monitoring for consistency.",5
,Patch Management,"Has a patch policy been defined and implemented for all artifacts (e.g., container images)?","A patch policy defines the rules and schedules for applying updates or fixes to software components, ensuring they are updated to address vulnerabilities or improve functionality.","A) No patch policy exists, and patches are applied inconsistently.",1
,,,,B) A patch policy exists but is not consistently followed across teams.,2
,,,,C) A patch policy is defined and followed by most teams but lacks strict enforcement.,3
,,,,"D) A patch policy is defined, enforced, and regularly reviewed for effectiveness.",4
,,,,"E) A comprehensive patch policy is in place, automated, and integrated with CI/CD pipelines for immediate updates.",5
,,Are automated pull requests (PRs) for patching dependencies integrated into your workflows?,"This refers to incorporating automated systems that generate PRs whenever updates or patches are available for software dependencies, streamlining the patching process.",A) No automated PRs; patches are handled manually.,1
,,,,B) Automated PRs are used occasionally but are not integrated into workflows.,2
,,,,C) Automated PRs are integrated into workflows but require significant manual intervention.,3
,,,,"D) Automated PRs are integrated and monitored, with minimal manual intervention required.",4
,,,,"E) Automated PRs are seamlessly integrated, monitored, and auto-merged with extensive testing to ensure stability and security.",5
,,Are nightly builds of base images conducted to ensure up-to-date dependencies?,Nightly builds involve the automatic generation of new versions of base images every night to ensure all software dependencies are updated and secure.,A) No regular builds are conducted; updates are applied sporadically.,1
,,,,B) Builds are conducted occasionally but not consistently on a nightly basis.,2
,,,,C) Nightly builds are conducted for most base images but lack proper monitoring or validation.,3
,,,,"D) Nightly builds are conducted, validated, and monitored for all critical base images.",4
,,,,"E) Nightly builds are fully automated, validated, and monitored, with alerts for outdated dependencies or failed builds.",5
