Dimensions,Sub-Dimensions,Questions,Description,Options,Scores
Build and Deployment,Build,Do you have a defined and documented build and deployment process?,"A build process defines how source code is compiled, tested, and packaged, while a deployment process outlines how the built software is released into production, including roles, steps, and tools involved. This refers to having a clear, structured, and documented process for both building and deploying software ensures consistency, reduces errors, and improves efficiency.",A) No defined process; builds and deployment are manual or ad hoc.,1
,,,,"B) Some projects have defined processes, but these are undocumented and inconsistent.",2
,,,,C) A documented process exists but lacks adoption in all teams.,3
,,,,"D) All teams follow a consistent, well-documented process.",4
,,,,"E) Processes are optimized, automated, and integrated with advanced tools and monitoring for continuous improvement.",5
,,Are software files and packages digitally signed to verify their authenticity and prevent tampering?,"An artifact is any file, package, or binary generated during the software build and deployment process. Examples of artifacts include compiled binaries (app.jar), Docker images (my-app:v1.0), library packages (numpy.whl), config files (config.yaml), and logs (test-results.xml). Signing artifacts involves attaching a cryptographic signature to software packages or files, ensuring that they have not been tampered with and are verified as genuine.",A) No artifacts are signed.,1
,,,,"B) Some critical artifacts are signed, but verification is inconsistent.",2
,,,,"C) Most artifacts are signed, but verification is inconsistent or manual.",3
,,,,D) All artifacts are signed and verified manually.,4
,,,,"E) All artifacts are signed, and verification is automated as part of the CI/CD process.",5
,Deployment,"Do you deploy software updates gradually in controlled phases, such as rolling updates?","Rolling updates involve deploying new versions of software incrementally across servers or systems, reducing the risk of downtime or service disruption. In a rolling update, the new version is first deployed to a small set of servers (e.g., 10%), while the system monitors for issues. If everything runs smoothly, the update is gradually applied to the next batch, repeating the process until all servers are updated without downtime. It’s commonly used in cloud deployments and Kubernetes to ensure smooth and reliable updates.
Canary deployment: A small percentage of users get the new update first, and if stable, it's gradually rolled out to everyone.
Blue/Green deployment: Two environments run in parallel—traffic shifts to the new version once tested, and can revert if issues arise.","A) Deployments result in downtime, with no strategy to minimize it.",1
,,,,B) Rolling updates are occasionally used but not consistently.,2
,,,,"C) Most updates are gradual, but they lack automation or monitoring.",3
